Variant,Species,YrsOfGrowth,Reference,Link to reference?
BM,ponderosa pine (Pinus ponderosa),100,"Barrett, 1978",
CI,ponderosa pine (Pinus ponderosa),100,"Meyer, 1961",
CR,ponderosa pine (Pinus ponderosa),100,"Minor, 1964",
CR,twoneedle pinyon (Pinus edulis),100,CR Variant Overview Pinyon Pine Table 3.4.3,
CS,X,X,X,
EC,Douglas-fir (Pseudotsuga),50,"Cochran, 1979",
EM,ponderosa pine (Pinus ponderosa),100,"Meyer, 1961",
CA,ponderosa pine (Pinus ponderosa),100,"Dunning and Reineke, 1934",
CA,X,X,X,
IE,X,X,X,
NC,ponderosa pine (Pinus ponderosa),100,"Dunning and Reineke, 1934",
NC,tanoak (Lithocarpus densiflorus),50,"Porter and Wiant, 1965",
KT,X,X,X,
LS,X,X,X,
NE,X,X,X,
OP,Douglas-fir (Pseudotsuga),50,"King, 1966",
PN,Douglas-fir (Pseudotsuga),50,"King, 1966",
AK,Sitka spruce (Picea sitchensis),50,"Hegyi et al., 1981",
SO,ponderosa pine (Pinus ponderosa),100,"Barrett, 1978",
SN,X,X,X,
UT,ponderosa pine (Pinus ponderosa),100,"Meyer, 1961",
UT,ponderosa pine (Pinus ponderosa),100,"Meyer, 1961",
WS,ponderosa pine (Pinus ponderosa),100,"Dunning and Reineke, 1933",
,ponderosa pine (Pinus ponderosa),100,"Dunning and Reineke, 1934",
WC,Douglas-fir (Pseudotsuga),50,"King, 1966",
